"Titel","Omschrijving","datum","begin","einde","Plaats","Indoor","deelnemers"
"Dj's Del Piero & L-Dopa + Howie Dunham","Zaal: Stijlvolle mix van genres",22/07/2011,"01:00","05:55","Charlatan, Vlasmarkt 6, Gent",0,50
"Boottocht met Hanneke Tanneke Toverheks + gratis ijsje. Duur 40 min.","Vaar mee met Hanneke Tanneke: een lelijke, vrolijke, superslordige heks die de Gentse wateren tijdens de Feesten onveilig maakt. Kleuters en kinderen tot 8 jaar helpen Hanneke om een heel speciale toverdrank te brouwen.",23/07/2011,"11:00","11:40","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,1000
"Stadhuis van Gent","Geleid bezoek aan het Stadhuis met aandacht voor Rechtspraak en Gerechtigheid. In samenwerking met de Dienst Monumentenzorg en Architectuur. Inschrijven niet nodig.",20/07/2011,"16:30","17:25","Stadhuis, Botermarkt 1, Gent",0,50
"In de marge. Belgische documentaire fotografie","'In de marge' is een topselectie van 22 Belgische documentaire fotografen die zich op de een of andere manier inschrijven in deze geschiedenis en de 'andere kant' van het bestaan aan het licht brengen.",23/07/2011,"13:00","17:00","Museum Dr. Guislain, Jozef Guislainstraat 43, Gent",0,100
"Trio Perdu","Le Trio Perdu is een zeer veelzijdige band die zich niet beperkt tot een enkel genre. Ze zijn gespecialiseerd in de vroege Klezmer en Gypsy Swing en houden van Jazz tot Oost-Europese bands.",16/07/2011,"20:00","21:00","Monasterium Poortackere, Oude Houtlei 56, Gent",1,1000
"Diafaan V. Hedendaagse glaskunst in het Sint-Elisabethbegijnhof te Sint-Amandsberg","Rondleiding in de tentoonstelling 'Diafaan V' waarbij op verschillende locaties in het begijnhof van Sint-Amandsberg, die voor de gelegenheid opengesteld zijn, glaskunstenaars hun werk tentoon stellen.",17/07/2011,"15:00","17:00","Begijnhofkerk Sint-Elisabeth, Groot Begijnhof 67, Sint-Amandsberg",0,50
"Over blauw bloed en witte billenbijters - zoektocht in het Prinsenhof (zonder gids)","Prinsenhof: meer dan het oord van verdoemenis waar de Gentenaars stroppendragers werden. Een duik in de geschiedenis van deze mooie wijk! Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",20/07/2011,"00:00","00:00","Lievekaai /, Gent",0,50
"'Rechtspraak en gerechtigheid.' Themarondleiding in het Stadhuis.","In het stadhuis werd vroeger recht gesproken. Opvallend is het labyrint in de Pacificatiezaal. Die banmijl kon een aantal keren worden afgelegd als straf voor sommige overtreders van de wet.",23/07/2011,"14:30","15:15","Stadhuis, Botermarkt 1, Gent",0,50
"Travestieshow Les Folles de Gand","Travestieshow onder leiding van Miss Michelle. Glitter, glamour en humor. Sketches met Cabaret oester. Stemmenimitator Steve Ryckier. Airco in de zaal en hapjes te verkrijgen. Géén show op 17 juli",22/07/2011,"20:30","23:15","Centrum Reinaert, Reinaertstraat 28, Gent",1,1000
"Comedy voor Kids","Al vijf jaar op rij een uitverkocht succes op de Feesten! De enige familievoorstelling die iedere keer verrast: de plezanteriken op het podium maken sketches en liedjes op basis van jouw ideeën. Laureaat Kinderjuryprijs Gentse Feesten. Van 8 tot 88 jaar.",25/07/2011,"15:00","16:00","Hof Van Ryhove, Onderstraat 20, Gent",1,100
"mozaïek in het Pierkespark","Gratis mozaïekworkshop. Paadjes en banken worden met mozaïek bekleed. Alle materialen zijn voorhanden. Ontwerp is al voorbereid door kunstenares.",22/07/2011,"13:30","18:00","Pierkespark Brugse Poort tussen Kringloopwinkel en Bij De Vieze Gasten, Haspelstraat 10, Gent",0,50
"Het Gentse Montmartre - Vlerickschool","een rustpunt in de drukte van de Gentse feesten. Een plein met een authentiek kader. U kan er rustig flaneren tussen de kunstenaars en luisteren naar Franse chansons. Genieten van optredens door zangers en goochelaar. Brunch vanaf 10h",18/07/2011,"15:00","00:00","Binnentuin Vlerickschool, Seminariestraat 10, Gent",1,100
"Armoede is een troef","Arme biotopen vertonen een rijke biodiversiteit. Alleen daar waar de economisch gedreven mens zich bemoeit, verarmt de natuur drastisch. Ingang via Plantentuin",24/07/2011,"09:00","12:00","Museum voor Dierkunde, Karel Lodewijk Ledeganckstraat 35, Gent",0,50
"De Professor","Mario Fernandez brengt een grappige en leerrijke goochelvoorstelling met een ""échte professor"". Hij doet proeven en toont zijn laatste uitvindingen. Een fascinerende cocktail van proefjes en interessante trucs!  Vanaf 5 jaar.",17/07/2011,"14:30","15:15","Monasterium PoortAckere, Oude Houtlei 56, Gent",1,100
"Gast-expo: Tradities in Vlaanderen","Ontdek de foto’s van Nick Hannes over feestcultuur in Vlaanderen aan het begin van de 21ste eeuw: van carnavalsfeesten, suiker- en offerfeesten, autowijdingen en kermiskoersen tot babyborrels en Driekoningenzingen. (ism Volkskunde Vlaanderen vzw)",18/07/2011,"10:00","18:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"Wouter Berlaen","Muziek - www.berlaen.be",17/07/2011,"11:30","12:30","Lakenhalle, Sint-Baafsplein , Gent",1,100
"Fabrieken in de Stad","Een duik in ons industriële verleden, van het Gravensteen door het Prinsenhof tot aan de Rabotwijk, met heel wat verrassende ontdekkingen. Onder andere ook een bezoek aan het merkwaardige museum Meerhem op de site van Sint-Jan de Deo.",22/07/2011,"10:30","12:30","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"Ontbijt met akoestische muziekale omkadering met aperitief en tapas","Elke dag een andere muziekant",20/07/2011,"10:30","12:30","Bar Oh, Hoogstraat 88, Gent",1,50
"Matchbox on Tour","Twee verschillende kunstenaars : Nina Stoupina en Conny Kuilboer onderlegt in verschillende disciplines, elk met andere etnische wortels, andere vormen van beelexpressie. De matchbox staat gestationeerd aan het MIAT. Opening matchbox 17/7 om 14.30u",22/07/2011,"14:30","20:00","MIAT, Minnemeers 9, Gent",0,50
"Rondleidingen Augustijnenklooster Sint-Stefanus","U krijgt een unieke kans een rondleiding mee te maken door een gids in het prachtige Augustijnenklooster Sint-Stefanus. De binnentuin is prachtig, de bibliotheek een pareltje...",25/07/2011,"11:00","12:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"The Julian's New Orleans Jazz Friends","Aperitiefconcert alle dagen van de Gentse Feesten in de foyer van Theater Scala. In de prijs is een aperitief inbegrepen!",20/07/2011,"10:00","13:00","Theater SCALA, Dendermondsesteenweg 163-165, Gent",1,50
"Elga - Het Panopticum","Elga – Het Panopticum dompelt jou onder in de historiek van Gent waar revolutionaire figuren het voortouw namen. Dit levend museum vind je op de speelplaats van het SKI palend aan het Baudelohof. Een productie in samenwerking met het Vermeylenfonds.",21/07/2011,"20:00","20:40","secundair kunstintituut - speelplaats - ingang via Baudelohof, Ottogracht 4, Gent",0,50
"Tentoonstelling H²O van Mark Swysen","Op de plaats waar zich in de vroege Milldeeeuwen de waterput van de Sint-Baafsabdij bevond, stelt Mark Swysen enkele installaties tentoon die het begrip ""water"" oproepen in al zijn aspecten: bron van leven én stervensgevaar.",19/07/2011,"15:00","18:00","Machariuskerk, Sint-Machariusstraat 1, Gent",0,50
"Les Argentijnse Tango","Pol Van Assche van de vzw Polariteit leert je op een aangename manier de basisstappen en -figuren aan van deze verleidingsdans aan. Laat via de Tango de passie toe in je leven !",17/07/2011,"18:00","19:00","Baudelopark, Bibliotheekstraat 7, Gent",0,100
"Armoede is een troef","Arme biotopen vertonen een rijke biodiversiteit. Alleen daar waar de economisch gedreven mens zich bemoeit, verarmt de natuur drastisch. Ingang via Plantentuin",17/07/2011,"09:00","12:00","Museum voor Dierkunde, Karel Lodewijk Ledeganckstraat 35, Gent",0,50
"Workshops voor kinderen in de Etnografische Verzamelingen","Kruip in de huid van een heuse ontdekkingsreiziger. Verken de wereld aan de hand van voorwerpen en verhalen.   Speel spelletjes van verre volkeren. Zo kom je te weten hoe kinderen zich daar amuseren en groot worden. Ouders welkom. Schrijf tijdig in!",18/07/2011,"14:00","15:00","Het Pand, Onderbergen 1, Gent",0,50
"Belleman Jean-Pierre Van De Perre","Belleman te zien in het straatbeeld is ter beschikking van de bevolking en feestvierders bij de rondgang van de stroppendragers.",21/07/2011,"16:00","20:00","Feestzone, Belfortstraat , Gent",0,50
"Schuune vrie schuune.     Kano-tocht met Spierke van Gent","Schelde,Leie,Lieve,Ketelvaart,echt de moeite waard.sPier van Gent is dus present.Zingen is zeker een must,kano-peddelen vol hartenlust.Een trip met je gezin zie je er ook iets in? bij vvk :kinderen (-10j):3 euro(-16j):5 euro !!",17/07/2011,"14:00","15:45","Kromme Wal - Sluizeken, Krommewal , Gent",0,100
"Weere Ne Komieke Nest op 't Seleskest","Een Gentse Feesten-cabaretshow vol Gentse humor en muziek. Met: Patrick Van Damme, Christian Bellecoste, Rony Van den Bossche, Inge Vandeleene, Pat & Dave, Ritchie Paris, Ronny Marino, Rudy Callewaert",23/07/2011,"19:30","22:30","Centrum Seleskest, Sint-Salvatorstraat 38, Gent",1,1000
"Rondleidingen in Hotel d'Hane Steenhuyse","Uitzonderlijk kan het Hotel d'Hane Steenhuyse - een 18de-eeuws stadspaleis - onder begeleiding van een gids worden bezocht.",18/07/2011,"16:30","17:30","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,100
"'t Brandt in d'Helle","Guul Gent ee gebrand deur de joare ; 't es nie te geluve... Of 't verhoal van de gruute branden in Gent.",21/07/2011,"14:30","16:30","Vanderdoncktdoorgang, hoek Vlaanderenstraat, Vlaanderenstraat -, Gent",0,50
"Het huis huilt","Een speelse voorstelling rond een fascinerende droomwereld waarin 8 insecten samenwonen  in een huis. Een huis dat huilt. Op je tocht doorheen dit wonderlijke huis helpen deze bijzondere insecten je de uitgang te vinden. Kijk en luister maar...",23/07/2011,"16:00","16:45","KOPERGIETERY, Blekerijstraat 50, Gent",1,1000
"Spel van de slotenmaker","Kinderen tussen 7 en 12 jaar leren in een speelse en interactieve wandeling boordevol weetjes het belfort beter kennen. Je gaat er op zoek naar de enige echte sleutel die past op de schat van het secreet.",20/07/2011,"10:00","17:00","Belfort, Sint-Baafsplein , Gent",0,50
"Helderziende Sonia Desmadryl","Geeft inzicht via kaartleggen, numerologie en pendelen.",16/07/2011,"14:00","00:00","HETEKOEKJE, Bennesteeg 1-3, Gent",1,50
"Kantdemonstraties door de kantclub Sint-Katelijne","Stropkant, Cluny, florence, Russische kant, moderne kant, bloemwerk, duchesse kant of Vlaamse kant: de leden van de kantclub hebben het allemaal in hun vingers!",18/07/2011,"10:00","12:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"de Bende van de Prins - Averechts","Als volleerde slapstickacteurs brengen Pepijn Lievens en Wouter Bruneel het waargebeurde, dramatische verhaal van de oorlogsheld Henry Tandey. Op het slagveld maakte hij echter één vergissing die het verloop van de wereldgeschiedenis zou bepalen…",23/07/2011,"19:30","20:30","Domzaal - Kunstencentrum Vooruit, Sint-Pietersnieuwstraat 23, Gent",0,1000
"Ontketend","Kees pakt uit met een unieke mengvorm van stand-up, zang, gitaar, piano, dans. Met doorleefde teksten en geweldige songs over zijn familie,relaties en zijn zomer aan de kust. ""Kees raakt"" (De Morgen). ""Hij verstaat de kunst"" (DS). (zie ook xlp.be)",25/07/2011,"22:00","23:15","Theater Tinnenpot, Biljartzaal, Tinnenpotstraat 21, Gent",1,100
"Portus Ganda + Oude Dokken per boot met gratis ijsje. Duur: 1u45","Met gids van Kraanlei, door sluis, via Portus Ganda, De Pauw-doorgang en Dampoort naar de Oude Dokken met zijn schitterend stadsvernieuwingsproject en terug. Voor echte kurieuzeneuzen! Tickets afhalen vanaf 1 uur vóór afvaart.",24/07/2011,"17:30","19:15","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,100
"SABIJN aMUZE-ert op 't WATER","Sabijn brengt een totaal show waarin je haar te zien zal krijgen zoals nooit te voren.  Acterend, zingend en Swingend, dansend, schudden en beven en vooral beleven.",25/07/2011,"20:00","22:30","Aquamuse (Schip), Kuiperskaai 24, Gent",1,1000
"Levende Jukebox in Groot Vleeshuis","It's alive!Er zit leven in deze machine!  De Human Jukebox brengt de essentie van een eeuw Belgische muziek.  Het publiek kan kiezen uit een ruim repertoire. De inworp is vrij.",19/07/2011,"14:00","18:00","Het Groot Vleeshuis, Groentenmarkt 7, Gent",1,100
"Rona Kennedy/Annelies De Nil – Weight Watchers The Musical/Gloryhol","Twee fijne shows voor de prijs van één! Rona is een Schots-Gents cabaretfenomeen die charmeert met haar fijne nummers en onnozele sketches. Annelies acteert de pannen van het dak in haar hilarische monoloog over een puberende rockgroupie.",19/07/2011,"20:00","21:45","Hof Van Ryhove, Onderstraat 20, Gent",1,100
"Paranormale beurs","Een paranormale beurs met verkoopsstanden, spiritueel bekende mensen waaronder kaartleggers, helderzienden, zandlezers. Inkom gratis. Elke dag van 13u-23u. Novotel Crypte, Goudenleeuwplein 5, Gent.",23/07/2011,"13:00","23:00","Novotel, Goudenleeuwplein 5, Gent",1,50
"Feestoog","Ontdek bij FEESTOOG de nieuwste manier van feestvieren!!!!  Onverwachte oplossingen, antwoorden op nooit eerder gestelde vragen, smaakmakende suggesties met een blijvende impakt.  Feesten zonder stress-vorming en live-muziek.",24/07/2011,"19:30","21:00","Tinnenpot, Tinnenpotstraat 21, Gent",1,1000
"Het Stadhuis. Vrij bezoek.","Vanaf de middeleeuwen tot de Brabantse Omwenteling bestuurden 2 schepenbanken de stad: de schepenen van de Keure en van Gedele. Zij hadden een rechterlijke functie maar waren ook verantwoordelijk voor het dagelijks bestuur en de financiën.",23/07/2011,"14:00","19:00","Stadhuis, Botermarkt 1, Gent",0,1000
"amoRRoma duo","amoR (liefde) en Roma (de symbolische macht)… tegengestelden.",21/07/2011,"12:00","13:00","Monasterium Poortackere, Oude Houtlei 56, Gent",1,1000
"Mijn Ferme Lady","Muzikale komedie van Romain Deconinck, in regie van Geert Callebaut. Met o.a. Betty Bouckaert, Manon Soberon, Alain Devos, Lia De Cuyper, Guido Van den Berghe, Patrick Pevenage, Johan Van Hoorde, Steffi Ramont, Marc De Bruycker, Marc Scheire. Première 14 juli om 20u",19/07/2011,"21:00","23:30","Theater SCALA, Dendermondsesteenweg 163-165, Gent",1,5000
"True Champions Ride On Speed","Mathcore/ instrumental",18/07/2011,"22:00","23:30","Kinky Star, Vlasmarkt 9, Gent",0,50
"Museumspel KidKastKraak","Aan de hand van 3 koffers en een kast verkennen de leerlingen de expo WereldWijdWerken. Zij zijn gevuld met bezittingen van Kristel en haar grootouders. Elk voorwerp stuurt de kinderen op pad. Vanaf 6 jaar.",21/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,50
"Expo 'WereldWijdWerken'","Beleef de gevolgen van de industrialisatie. Felix, Aline en Monica komen uit een grote familie. Zij nemen je mee doorheen de expo en vertellen over de turbulente veranderingen in deze periode. Met filmfragmenten en luisterposten.",18/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"ZAALTEKSTEN voor  kinderen","Zaalteksten voor kinderen van 6 tot 12 jaar",16/07/2011,"10:00","18:00","Museum voor Schone Kunsten, Citadelpark , Gent",0,50
"Maudlin","Experimental / Psychedelic / Rock",24/07/2011,"22:00","23:00","Kinky Star, Vlasmarkt 9, Gent",0,50
"Lichtroze oortjes. Duur 1 uur","Vrolijke, ontdeugende en licht erotische vertellingen uit verschillende windstreken, tot je weer aan land stapt met zeemansbenen en licht tintelende oortjes, door Veerle Ernalsteen op een varende boot.",22/07/2011,"21:00","22:00","Aanlegsteiger De Bootjes Van Gent - Rederij Dewaele, Korenlei , Gent",0,1000
"Leesa (BE)","Getalenteerde dame die leuke dingen doet met minimal techno en deep house. Bracht dit jaar haar 2e ep uit, won een paar dj contests, speelde oa in Café d’Anvers, Suite 16 en werd door Stubru’s Switch geselecteerd voor hun all female Bitch uitzending.",21/07/2011,"23:00","05:55","10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000
"Kunst ten huize van Valérie van Pottelsberghe de la Potterie.","Het publiek maakt enkele scènes mee uit het leven van gravin Valérie Van Pottelsberghe de la Potterie en haar dochter Lucie in 1888.",20/07/2011,"14:00","16:00","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,50
"Poppentheater Magie","Poppentheater Magie brengt in de Sint Pietersabdij de mooiste sprookjes geschikt voor de hele familie.",24/07/2011,"14:30","16:00","Kunsthal Sint-Pietersabdij, Sint-Pietersplein 9, Gent",0,50
"Museumspel KidKastKraak","Aan de hand van 3 koffers en een kast verkennen de leerlingen de expo WereldWijdWerken. Zij zijn gevuld met bezittingen van Kristel en haar grootouders. Elk voorwerp stuurt de kinderen op pad. Vanaf 6 jaar.",20/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,50
"Verhaaltjes à la carte","Improvisatietheater tussen pot en pint: Stel zelf je menu samen! Een improvisatieverteller maakt er een pakkend verhaal van.",20/07/2011,"16:00","18:00","café de loge, Annonciadenstraat 5, Gent",1,50
"Spel en dans","Met leeftijdsgenoten kennismaken via enkele spelletjes en dansjes op leuke muziek.",17/07/2011,"13:30","14:30","Landgoed De Campagne, Gijzelstraat 12, Drongen",0,50
"Nova Scotia (cd-voorstelling)","“Na de stilte komt muziek (van Nova Scotia) het dichtst bij het zeggen van het onzegbare. Nova Scotia is een goed bewaard geheim. Men zegge het voort.”",21/07/2011,"21:00","23:00","Hotsy Totsy, Hoogstraat 1, Gent",1,100
"Tentoonstelling ""Esprit Porcelaine""","Het kunstcollectief ""Esprit Porcelaine"" blaast ""Les arts de la table"", door hun samenwerking met de porseleinfabrieken in Limoges, nieuw leven in. De ontwerpen illustreren de technische vaardigheden die nodig zijn om tot hoogstaande kwaliteit te komen.",21/07/2011,"10:00","18:00","Design Museum Gent, Jan Breydelstraat 5, Gent",0,1000
